forum,id
1,Ich habe mir den irobot bestellt wegen der guten Bewertung und auch bei Stiftung Warentest war er der beste ..voller Vorfreude habe ich ihn installiert…
1,Und dann nahm das grauen fahrt auf...
1,Erst war alles ok bis er ständig versuchte unter die möbel zu kommen er blieb jedoch jedesmal mit seine Empfänger hängen....
1,Er fuhr mit vollen Schwung gegen die möbel....
1,Ich dachte naja gut gucken wir mal weiter... 
1,Iwann war er dann in der Küche... 
1,Eins muss man ihm lassen leise saugen tut er...
1,Aber das ständige gegen die Wand gefahre nervt...
1,Es dollert die ganze zeit...
1,Auf unsern Teppich ist er auch nicht Gefahren...
1,Obwohl in der Beschreibung steht Teppich ist kein Problem...
1,Grobmotoriker
1,Die Saugleistung von Roomba 780 leider ungenügend.
1,"Den Fußboden bekommt er einigermaßen sauber, der Benutzer muss die Ecken und einige unzugängliche Stellen trotzdem von Hand saugen."
1,Die Zeitersparnis für den Benutzer ist deshalb minimal.
1,"Roomba ist eine absolute """"Grobmotoriker""""!"
1,Für mich ungenügend- Eher nur ein Spielzeug!
3,"Sauger sehr gut, Lighthouses komplett unbrauchbar"
3,"Also, der Roomba kommt bei uns mit 70m^2 Wohnung mit 2 Langhaarpersonen und 2 Katzen perfekt zurecht. "
3,Saugt täglich im Automatikbetrieb. 
3,"Qualität ist gut, Geschwindigkeit ist gut, kommt in alle Ecken."
3,Natürlich muss man sich ein bischen anpassen. 
3,"Man darf keine Kleinteile mehr liegen lassen, man darf keine Decken o.Ä. liegen lassen und lose Kabel sind auch tabu. "
3,"Dafür tut er etwas was bei 2 Katzen notwendig ist, ich aber keinen Nerv zu hab: Täglich saugen."
3,"Aber, 2 Minuspunkte für folgendes Problem: Die Lighthouses funktionieren einfach nicht. "
3,"Der Sauger fährt nach Zeit im sehr kleinen Computerzimmer wo die Basisstation steht (~20 minuten) dann zum ersten Lighthouse, dreht sich ~2-3 Minuten auf der Linie, und kehrt wieder um. "
3,"Das wiederholt sich noch ein paarmal, jedesmal wieder 10 Minuten Computerzimmer saugen. "
3,"Dann meint er er ist fertig, fährt zur Basisstation und macht Ende."
3,Sprich: Er geht nie über das erste Lighthouse. 
3,"Jetzt das was daran so frustrierend ist: Ich *kann* das beheben, indem ich aus allen Lighthouses die Batterien entferne und neu einsetze während der Roomba (komplett) aus ist. "
3,Das funktioniert aber nicht lange. 
3,"Ein paar Tage später bleibt wieder eines (Batterien sind voll) aus wenn der Roomba startet, und dann wiederholt sich das Spiel."
3,Sobald ich die Lighthouses ganz entferne ist alles gut.
3,"Für den Preis absolut inakzeptabel, finde ich. "
3,"Vorallem weil das ja echt keine Magic ist, die hinter den Lighthouses steht."
3,"nicht für alles geeignet, aber gut"
3,"Dieses Gerät ist erstaunlich, wie viel es jedesmal aufgesaugt hat, obwohl man noch keinen Staub sah. "
3,"Seit wir das iRobot haben, ist es in unserer Wohnung deutlich staubfreier. "
3,Besonders auf glatten Böden hält es sauber. 
3,Durch die flache Bauweise kommt es fast überall unten durch und findet zuverlässig wieder hinaus. 
3,Die beiden Bürsten scheinen gut zu wirken. 
3,"Leider ist er ziemlich laut, so dass man ihn auch durch verschlossene Türen hört - nicht nur wenn er dagegen rumpelt. "
3,Er kommt gut in alle Ecken. 
3,"Die Basisstation ist viel zu leicht und rutscht herum, wenn er andocken will. "
3,Leichte Türschwellen (ab 1 cm) packt er nicht oder nur selten
3,Hier ein paar tips: 
3,"1. aufräumen, denn Socken, lose Elektrokabel und Schmuck frißt er gerne. "
3,"Bei Socken und Elektrokabel geht er dann ins Notaus, da es sich verschluckt und blockiert hat."
3,"2. Schuhe und ähnlich loses Zeug schiebt er einfach vor sich her und man muss sich nicht wundern, wenn ein Schuh dann mal tief unterm Bett wiederzufinden ist."
3,"3. Für wertvolle, alte Teppiche ist der iRobot nichts. "
3,Er zieht dem Teppich einfach die Haare aus.
3,Hier ist das traditionelle ausklopfen immer noch das beste.
3,Freizeit erkaufen?
3,"Überzeugt durch die vielen hoch positiven Rezensionen hier, entschieden wir uns dazu, uns """"Freizeit zu erkaufen"""" und einen ROOMBA 780 anzuschaffen. "
3,Nach einer einwöchigen Testphase haben wir uns von dem teuren Spielzeug wieder verabschiedet und saugen von Hand weiter.
3,Gründe hierfür sind: 
3,- Staubauffangbehälter musste nach beinahe jedem Saugen geleert werden (unsere Wohnung hat 70 Quadratmeter)
3,#NAME?
3,"- unsere Wohnung besteht aus mehreren Räumen, die z.T. mit einer 1,5cm hohen Schwelle getrennt sind "
3,#NAME?
3,"- es muss immer alles weggeräumt werden, damit Roomba effektiv saugen kann (Stühle, Schuhe, Mülleimer, ...)"
3,- unser hochfloorige (ca. 2cm) Teppich wurde nicht gründlich von Staub befreit
3,#NAME?
3,- man muss trotzdem noch 1x in der Woche mit Handstaubsauger saugen
3,"Positiv überrascht waren wir von der Funktion, dass er """"dreckigere"""" Stellen erkennt und dort gründlicher reinigt. "
3,"Es macht Spaß, ihm bei der Arbeit zuzusehen, zumal er relativ leise ist. "
3,Reinigung funktioniert gut. 
3,Bei der Steuerung ist Nachholbedarf
3,Ich habe von einem Freund von Vorwerk das Modell VR200 zum testen bekommen.
3,Dieser steuert ganz elegant und ohne Gegenstände zu berühren durch den Raum.
3,Ist allerdingt eine ganze Ecke teurer!
3,Darum habe ich mir den iRobot geholt. 
3,"Da es soviele positive Bewertungen beim iRobot gab, habe ich gedacht, dass dieses Gerät das top-Gerät sein muß und dann auch noch für diesen Preis."
3,"Leider hat der iRobot eine Papierlampe von uns kaputt gemacht, da er Gegenstände berühren muß um zu erkennen, dass er in eine andere Richtung fahren muß. "
3,"Hierdurch wurden auch Gegenstände verrückt, die nicht verrückt werden sollten (Staffelei, Hundekörbchen,...). "
3,Der Vorwerk war nach 45 Minuten fertig und hat alle markanten Stellen gesaugt. 
3,Der iRobot war nach 60 Minuten noch nicht fertig und hat auch hier Stellen vergessen.
3,"Die Lautstärke ist gefühlt beim iRobot auch lauter, da ich in vom Erdgeschoss bis zum Dachboden gehört habe. "
3,Dies war beim VR200 nicht der Fall.
3,Eine Erleichterung ist es definitiv. 
3,Der iRobot sollte dann allerdings genügend Zeit für's reinigen bekommen.
3,Gute Saugleistung mit kleinen Mängeln
3,Ich war vorher im Besitz eines günstigeren Gerätes einer anderen Marke. 
3,"Beim Roomba 780 kann ich nur sagen, dass die Reinigungsleistung hervorangend ist. "
3,Akkuleistung ist auch sehr gut. 
3,Verarbeitung und Zubehör auch gut. 
3,"Warum nur 3 Sterne: Leider war ein grosses Plastikstück in den Bürsten, welches mir eine Bürste kaputt gemacht hat."
3,Ausserdem ist der Roomba für mein Empfinden relativ laut. 
3,Bei dem Preis hätte ich ein deutlich leiseres Gerät erwartet.
3,"Wobei, wenn man es nur laufen lässt, wenn man nicht zu Hause ist, passt es schon."
3,Hält nicht was er verspricht
3,"Ich bin sehr enttäuscht von dem Roboter, da er in vielen Tests sehr gut abschneidet und auch hier gute Kritiken erhalten hat, hatte ich mehr erwartet. "
3,"Die Lieferung des Gerätes erfolgte sehr schnell, wie man das bei Amazon gewohnt ist. "
3,Das Gerät wirkt von der Verarbeitung und Design gut gelungen und hochwertig. 
3,Auch die Saugleistung würde ich als sehr gut einschätzen. 
3,"Aber die Station hat der Roomba in unserer sehr übersichtlichen Wohnung nie wiedergefunden, weil er sich immer irgendwo festgefahren hatte und gerettet werden musste. "
3,"Das nervt total, wenn man den Roomba immer erst mal suchen muss, wenn man nach Hause kommt und dadurch natürlich auch nicht gesaugt war."
3,"Die Lautstärke war für uns gefühlt zu laut um sich mit dem Gerät während des Betriebs im gleichen Raum aufzuhalten, aber das wäre auch nicht ganz so schlimm, wenn er alleine zurecht käme. "
3,"Für meinen Geschmack fährt der Rommba auch mit zu viel Karacho an die Möbel, da werden sich mit der Zeit Kratzspuren bilden. "
3,"Von einem Lerneffekt habe ich nichts gemerkt, der Roomba fährt auch 3-5 mal hintereinander gegen die gleiche Stelle des Schranks , Tischs oder Stuhls. "
3,"Für mich nicht überzeugend, deshalb wieder zurück gegeben."
3,"Die Bedienung wie Uhrzeit einstellen, Terminplan programmieren ... ist sehr intuitiv und einfach über das Bedienfeld einzustellen."
3,Roboter begeht nach einem Monat 'Selbstmord'
3,"Prinzipiell ein toller Zeitgenosse, der ein paar Wochen den Haushalt wunderbar ergänzt hat. "
3,"Nur, dann stürzte sich der Roboter im Haus die Treppe runter (genau das was laut Produktbeschreibung auf gar keinen Fall passiert). "
3,"Tja, und das war es dann auch schon nach exakt vier Wochen. "
3,Den Sturz hat das Gerät natürlich nicht überstanden. 
3,"Sensationell dagegen wie schnell der Austausch durch Amazon erfolgte (Gerät morgens zurück geschickt, gleichzeitig neues bestellt, welches dann Nachmittags bereits da war). "
3,Der neue Robbi hat es nun schon ein paar Monate bei uns ausgehalten - ohne Selbstmordversuche.
5,Absolut überzeugend!
5,"Wir haben den ersten Kontakt mit Staubsaugerrobotern bei Freunden gehabt, ein iRobot aus der 500er Serie."
5,"Unsere Freunde waren sehr zufrieden, weshalb ich nach reichlich Internetrecherche mich für den iRobot 780 entschieden habe- auch weil Rückgabe bei Unzufriedenheit bei Amazon kein Problem ist."
5,"Lieferung wie gewohnt schnell( 2 Tage nach Bestellung da), Verpackung sehr gut, Gerät ausgepackt und erst mal über Nacht geladen."
5,"Am nächsten Tag erster Einsatz, in jedem Raum -wie häufig empfohlen- unter Anwesenheitskontrolle."
5,"Wir hatten zuvor gelesen, der iRobot hätte bei dunklen Böden Probleme, er denke, dort sei ein Abgrund..."
5,"Wir haben einen schwarzen Steinfußboden, darauf helle Teppiche- eine Extremsituation für die optischen Sensoren also!"
5,"Ich will mich kurz fassen: Keinerlei Probleme mit den schwarzen Steinen, Übergänge zu Teppichen und zurück ohne Zucken, bremst an Treppenstufen sofort ab, """"donnert"""" auch nicht gegen dunkle Möbel."
5,Die Reinigung: Wir sind ÄUßERST zufrieden.
5,Haben eine Langhaarkatze und bisher einen Miele Cats and Dogs Sauger.
5,Was der kleine iRobot bei jeder Reinigung aufnimmt- als ob wir wochenlang kein Staub gesaugt hätten.
5,"Katzenhaare sind kein Problem, alle weg, er nimmt Blätter bis Birkenblattgröße ohne Probleme mit, die Größe des Auffanggefäßes reicht locker für ca. 80 qm."
5,"Mit den Leuchttürmen ist ein sinnvolles Navigieren in 3 Räumen möglich, so dass iRobot immer noch die Ladebuchse findet- ist auch notwendig."
5,"Leider hält das Akku nicht- wie in einigen Berichten zu lesen- 3 Stunden, sondern nur knapp über 1 h, aber das ist kein Problem: Er fährt zurück und lädt auf, putzt an der gleichen Stelle weiter, wo er vorher aufgehört hatte."
5,"Weiterer Vorteil: Endlich wird es auch unter Betten und Schränken sauber, wenn sie nicht zu tief sind."
5,Bei Kabeln haben wir übrigens keinerlei Störungen bisher( 4 Wochen Gebrauch) erlebt.
5,"Wenn iRobot über ein Kabel fährt, hat er eine Abwicklungsautomatik, die ihn bisher selbst unter dem Bett, wo Lautsprecherkabel, Stromkabel, Verteiler etc. liegen, jedes Mal wieder munter auftauchen läßt."
5,"Reinigung des Gerätes: Ich verstehe diejenigen nicht, die meinen, dies sei kompliziert... "
5,"Täglich wird die Staubschale geleert, 1x die Woche die Bürsten gereinigt."
5,"Dauer Staubschale leeren: 15 sec( inclusive Weg zum Mülleimer), Dauer Bürstenreinigung: ca. 2 min."
5,"Der Beutelwechsel bei dem Miele ist deutlich komplizierter, braucht mehr Zeit, auch wenn er nur alle paar Wochen notwendig ist."
5,"Fazit: Eine rundum gelungene Bereicherung unseres Haushaltes, wir haben uns Freizeit gekauft."
5,"Aufgrund dieser positiven Erfahrungen haben wir beschlossen, im nächsten Frühjahr einen Roboter zum Rasenmähen anzuschaffen..."
5,Eine echte Alternative!
5,Nun habe ich meinen Roomba 780 seit ungefähr einem Monat und bin immer noch restlos begeistert!
5,"Ich hatte mich für den Roomba entschieden, weil er im Gegensatz zu anderen Robotersaugern sehr gründlich ist( jede Stelle wird ca. 4x gesaugt) und er eine automatische Schmutzerkennung( Dirt Detect) hat."
5,"Bei zwei Kleinkindern, die jede Menge Sand und Schmutz ins Haus tragen, war mir das sehr wichtig!"
5,"Dieser Roboterstaubsauger ist bestimmt nicht perfekt, aber das ist der große Staubsauger auch nicht."
5,Unter den Betten und der Couch ist es sauber wie nie!
5,"Es kommt immer mal vor, dass der Roomba irgendwo hängen bleibt, sich einsperrt oder mal Stellen vergisst."
5,"Ich persönlich finde das aber nicht schlimm, dann macht er es halt am nächsten Tag oder muss nacharbeiten."
5,"Er ist leiser als ein normaler Staubsauger, allerdings zu laut um sich permanent im gleichen Raum aufzuhalten."
5,"Allerdings stört es mich nicht, wenn er mir nach dem Frühstück um die Beine fährt und schon mal den Fußboden reinigt, während ich z.B. die Spülmaschine noch schnell aus- und einräume."
5,"Die Lighthouses benutze ich derzeit nicht, bzw. nur mal als virtuelle Wände um etwas abzusperren, weil ich sie wegen der Kinder nicht dauerhaft stehen lassen kann und auch keine Lust habe sie ständig aufzustellen."
5,Es klappt aber auch ohne super.
5,Außerdem kann er um den Leuchtturm herum nicht reinigen und auch an der Ladestation reinigt er tatsächlich nicht.
5,Kann ich aber auch mit leben.
5,Dann nehme ich die Ladestation halt 2 x die Woche hoch und lasse ihn per Fernbedienung da langfahren oder gehe eben mit 'nem Swiffer Staubtuch lang.
5,Das mit dem Swiffer( oder jede beliebige andere Firma) ist übrigens genial!
5,"Mit dem Swiffer Bodenwischer mit einem Staubtuch bezogen, gehe ich 1- 2x die Woche alle Stellen lang, die der Roomba nicht erreicht, z.B. hinter Zimmertüren oder unter niedrigen Schränken."
5,Das geht viel schneller als erst den sperrigen Staubsauger rauszuholen und selbst die Treppe ist damit schnell von Staub und Schmutz befreit.
5,Den großen Staubsauger benutze ich wirklich nur noch um den Roomba sauber zu machen.
5,Man kann übrigens- dank der Absturzsensoren- mit dem Roomba auch auf hohen Schränken( z. B. im Schlafzimmer) sauber machen.
5,"Alles in allem ist so ein Roboterstaubsauger genial, er nimmt mir viel Arbeit ab und der Reinigungsaufwand für das Gerät ist m.E. gering."
5,"Wenn man damit leben kann, dass er nicht perfekt ist und vielleicht nicht alle Stellen erreicht die man mit der Hand erreicht hätte, dafür aber auch anerkennt, dass der Roomba viele Stellen erreicht, die man mit der Hand auch nie erreicht hätte, kann man damit wirklich glücklich werden!"
5,"Ich war jetzt fast eine Woche krank und total froh, dass wenigstens der Roboter die Stellung gehalten hat :-)."
5,Heute ist als Ergänzung zu meinem Roomba der amerikanische Wischroboter Mint Plus( siehe auch Dirt Devil Evo) angekommen.
5,"Ich hoffe, dass ich bald mit der Bodenreinigung fast gar nix mehr am Hut habe."
5,Unser treues Helferlein
5,Habe mir mit der Rezension mal etwas Zeit gelassen.
5,Nun haben wir den Kleinen schon über 2 Jahre und wollen ihn nicht mehr missen.
5,Wer glaubt keine Arbeit mit dem Sauger zu haben täuscht sich aber.
5,Wir sind ein 5 Personenaushalt und der Sauger läuft jeden Morgen um 07:00 Uhr.
5,"Es hat sich bei uns herausgestellt, dass eine wöchentliche Pflege ein Muss ist, d.h.am Wochenende, je nach Wetterlage bzw. Fernsehprogramm, wird er ca. 30min gereinigt."
5,Eine große Hilfe ist ein Nahttrenner( für die ganzen eingewickelten Haare) und eine große Dose Druckluftspray.
5,"Die Reinigung sollte draußen erfolgen, sonst hat man den ganzen Staub wieder in der Wohnung."
5,"Nach einem Jahr habe ich den Sauger komplett zerlegt und gereinigt, das habe ich jetzt 2x gemacht und hat ihm nicht geschadet."
5,"Sollte mal etwas verschüttet werden( z.B. Cola und Co) sollte man sicherstellen, dass alles aufgewischt ist, sonst ist es eine riesige Sauerei."
5,Zwischenzeitlich haben wir die Haupt.-und Eckbürste 2 x und die Gummibürste 1x ersetzt.
5,Vor ca. 3 Wochen fiel uns ein taktendes Geräusch beim Laden auf.
5,"An der Ladestation sind zwei bewegliche Kontakte, diese sollten hin und wieder überprüft werden, bei uns hatte sich einer verklemmt, der Akku ist weiterhin geladen worden, allerdings entwickelte sich am Ladekontakt des Saugers eine große Wärme, der den Kontakt ca. 2-3mm in das Gerät eingedrückt hat."
5,Nach dem der Kontakt wieder einwandfrei Funktioniert war das Geräusch auch wieder weg.
5,"Fazit: Sollte er mal von uns gehen, werden wir kurzfristig einen Nachfolger ordern."
5,Top!!!!!!!
5,Habe mir nach langen Überlegungen diesen Roomba angeschafft.
5,"Habe wirklich schon beim Bestellen gedacht, dass Ich hiermit Geld rauswerfe."
5,Ich habe einen Hund( Labrador) der recht viele Haare verliert....
5,In meiner/unseren neuen Wohnung habe Ich mich für Teppichboden( kurzflorig) entschieden.
5,"Dachte wirklich, Ichgeh einer guten Verkausstrategie auf den Leim- wollte es dennoch versuchen( Ingenieur-Neugiervs. IngenieurSkepsis)"
5,It works!
5,Möchte den Roomba nicht mehr vermissen( nach 30 Tagen!!).
5,"Er saugt die Wohnung während Ich im Büro, beim Fussball, beim Sport, im Cafe oder beim Gassi gehen bin."
5,Und wenn Ich heimkomme ist die Wohnung gesaugt....
5,Für solche Putzmuffel wie Ich( was nicht heisst dass Ich nicht putze- aber Ich kann mir in der Zeit besseres vorstellen ;-)) ist er wirklich eine sinnvolle Haushaltshilfe.
5,"Habe jahrelang ohne Spülmaschine gelebt und von Hand gespült- und genausowenig wie Ich mittlerweile auf meine Spülmaschine verzichten will, möchte Ich meine """"OLGA"""" missen…"
5,P.S. Und mein Labbi stört sich- nach anfänglicher Skepsis- auch gar nicht mehr an der Putzmaschine.... 
5,Er lässt sich sogar anboxen und der Roomba dreht um und fährt weg... ..
5,Superding mit sehr sehr kleinen Fehlerchen
5,Ich habe sehr lange recherchiert bevor ich mir dieses Helferchen zugelegt habe.
5,"Mit zwei großen Hunden, einem Holzofen und Baustelle plus Natur pur vr dem Haus war es mir wichtig etwas sehr stabiles zu haben."
5,Und das ist Roomba in der Tat.
5,"HUndehaare sind überhaupt kein Problem, auch kleiner Steinchen von draußen frist er einfach auf, an dem ein oder andere liegengebliebene Kleidungsstück oder Schnur verscgluckt er sich dann doch aber sobald man ihn befreit hat macht er munter weiter."
5,"Unser Roomba läuft jeden Tag seine Runde, an manchen auch mal zwei auf ca. 60 m²."
5,"Er ist programmiert, sodass er gerade wieder am Laden ist wenn ich nach Hause komme und das ist schon klasse."
5,Es gibt zwei Kleinigkeiten die man nacharbeiten könnte.
5,Zum einen ist das Entfernen des Staubbehälters recht mühsam und zum anderen lässt Roomba immer die gut 30 cm um seine Ladestation oder die mitgelieferten Sperren bzw. Leuchttürme aus.
5,Das sind aber die einzigen Nachteile die ich nach einem halben Jahr benennen könnte.
5,Ich bin gespannt wie lange die Akkus halten.
5,Die Filter sind übrigens auch hervorragend und besser als von jedem anderen Staubsauger den ich je zuvor hatte.
5,Ein absolut empfehlenswertes Gerät das ich nicht mehr missen möchte und dessen unverwüstliche Arbeitsweise sehr überzeugt.
5,Unverzichtbarer Helfer
5,"Wenn mich ein Helferlein überzeugt hat, dann dieses Gerät."
5,Es saugt jeden Tag in unserer Abwesenheit unser Wohnzimmer mit einer Größe von ca. 80 qm plus Küche und Diele( alles Fliesen).
5,"Es ersetzt sicher nicht den klassischen Staubsauger, reduziert aber die Arbeit ungemein."
5,Wir haben eine stark haarende Katze und vom Garten bzw. von der Straße wird auch oft Schmutz mit ins Haus getragen.
5,"Dadurch, dass dass der Staubsaug-Roboter aber jeden Tag durch die Wohnung läuft, sieht man davon kaum etwas."
5,"Angenehm finde ich, dass sich der Roboter programmieren lässt, so dass er i .d.R. während unserer Abwesenheit saugt, denn das Arbeitsgeräuch ist schon recht störend."
5,"Auf die Programmierung kann aber auch verzichtet werden, wenn man den Roboter vor dem Verlassen startet."
5,Ebensowenig benötigen wir die virtuellen Wände.
5,"Die Räume, die er nicht besuchen soll( weil er sich dort z.B. unter Regalen festfahren kann), werden einfach geschlossen."
5,"Wenn man also den Roboter selbst startet und auf die virtuellen Wände verzichtet, spart man auch Einiges, da man sich für ein kleineres Modell entscheiden kann."
1,Schwerste funktionelle Mängel
1,"Das Geräte hat mich so massiv enttäuscht, dass ich in der Folge ein Gerät eines anderen Herstellers gekauft habe und nun nur noch dieses andere Gerät verwende."
1,Die schwersten Mängel sind:
1,#NAME?
1,#NAME?
1,- Usability: Die verschiedensten Funktionen sind nicht intuitiv zu finden bzw über Shortcuts zu erreichen (das ist natürlich nicht die Schuld der Hardware selbst sonder wohl die des Windows Betriebssystems.
1,#NAME?
1,#NAME?
1,Ich hätte gleich etwas mehr Geld ausgeben sollen und mir leistungsstärkeres Gerät mit einem ausgereifteren Betriebssystem zu kaufen.
1,suboptimal
1,"Der mitgelieferte Akku ist, auch bei geringer Verwendung, vergleichsweise schnell leer und muss oft nachgeladen werden. "
1,Die Menüführung finde ich persönlich recht gewöhnungsbedürftig. 
1,Entweder studiert man selbst für banale Funktionen sehr ausgiebig die Bedienungsanleitung oder aber man lernt das Gerät mit teilweise unangenehmen try and error Erfahrungen erst kennen. 
1,"Grundsätzlich ist es bei technischen Geräten kundenfreundlicher, wenn nicht jeder Anbieter andere Bedienerstandards hat. "
1,Ich würde mir das Gerät nicht wieder kaufen.
1,Einmal und nie wieder
1,Anfangs war ich eigentlich positiv von dem Betriebssystem überrascht. 
1,Alles sehr übersichtlich und schick!
1,Ist es auch immernoch!
1,Fotoqualität voll ok und auch die trägheit des Systems ist für den Preis akzeptabel.
1,Aber nach einiger Zeit und gesammelter Erfahrung ärgere ich mich häufig über das Smartphone. 
1,"Das vorinstallierte Navi """"here drive +"""" hängt sich sehr häufig auf bzw. verliert vielleicht das GPS Signal und verbindet nicht mehr automatisch.."
1,"Auf der Autobahn deswegen schonmal die ein oder andere Ausfahrt verpasst, hatte mich irgendwann gewunder, dass sich das Navi nicht mehr gemeldet hat."
1,Und geholfen hat nur der Neustart der App.
1,Auch andere Apps z.B. Whatsapp sind beim Starten direkt abgestürzt und funktionierten erst wieder nach einem kompletten Neustart des Handys…
1,Ob es jetzt an der Hardware und dem niedrigen Preis liegt oder einfach am Windows Betriebssystem..
1,Für mich heißt es: Einmal und nie wieder!
1,Display ist absolute Schwachstelle
1,"Bin leider enttäuscht, vor allem vom Hersteller. "
1,"Ich habe das Handy kaum in gebrauch, da ich es als Zweithandy nutze, trotzdem ist das Display gerissen. "
1,"Runtergefallen ist es mir nicht, daher kommt höchstens die Hosentasche in Frage, wobei ich das Handy vielleicht 2 - 3 mal dabei hatte. "
1,"Jedoch bin ich der Meinung, dass ein Smartphone eine Hosentasche überleben sollte, zumal ich nicht einmal enge Hosen trage."
1,"Natürlich habe ich das Telefon eingeschickt und ja, Reparaturkosten 90€ bei einem Telefonneupreis von ca. 100€...lächerlich. "
1,Diskussion mit w-support erfolglos. 
1,"Zitat """"der Hersteller hat mir nicht nachzuweisen, ob es Eigenverschulden war oder nicht"""". "
1,"Lächerlich...na ja, einmal und nie wieder."
1,"Das Handy lasse ich natürlich nicht reparieren, habe schon genug Geld rausgeschmissen…"
1,Kontakte nur online - geht gar nicht!!!
1,...von firmenwegen ein Smartphone bekommen.
1,"Keine Ansprüche gestellt, da ich bislang auch ohne gut leben konnte."
